Respondent_Serial,Main Brand,Service provider,Month,City,Region,Detailed_Nationality,Nationality,Gender,Performance,Preference,TRIM_Score
10031758,Mobily - Postpaid,Mobily,Jun'18,AR RIYADH,Central,Jordanian,Expat Arabs,Male,2,2,2
10028892,Mobily - Prepaid,Mobily,Jun'18,JIZAN,Southern,Yemeni,Expat Arabs,Male,5,4,4.5
10028114,Mobile - Data SIM,Mobily,Jun'18,JEDDAH,Western,Yemeni,Expat Arabs,Male,5,1,3
10030174,Mobily - Internet on Mobile,Mobily,Jun'18,SAYHAT,Eastern,Sudani,Expat Arabs,Male,5,5,5
10030139,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Egyptian,Expat Arabs,Male,5,5,5
10030645,Mobily - Internet on Mobile,Mobily,Jun'18,AR RIYADH,Central,Egyptian,Expat Arabs,Male,4,3,3.5
10031980,Mobily - Postpaid,Mobily,Jun'18,JEDDAH,Western,Egyptian,Expat Arabs,Male,5,3,4
10021420,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Indian,Expat Asians,Male,5,3,4
10021190,Mobily - Prepaid,Mobily,Jun'18,AD DAMMAM,Eastern,Indian,Expat Asians,Male,4,4,4
10020904,Mobily - Prepaid,Mobily,Jun'18,AR RIYADH,Central,Indian,Expat Asians,Male,4,4,4
40003965,Lebara - Prepaid,Lebara,Jun'18,AR RIYADH,Central,Yemeni,Expat Arabs,Male,5,5,5
40003601,Lebara - Prepaid,Lebara,Jun'18,JEDDAH,Western,Saudis,Nationals,Female,5,5,5
40000703,Friendi - Prepaid,Friendi,Jun'18,JEDDAH,Western,Yemeni,Expat Arabs,Male,3,3,3
40001179,Friendi - Internet on Mobile,Friendi,Jun'18,HAFAR AL BATIN,Eastern,Indian,Expat Asians,Male,3,5,4
40004997,Friendi - Internet on Mobile,Friendi,Jun'18,JEDDAH,Western,Indian,Expat Asians,Male,5,5,5
40009402,Friendi - Internet on Mobile,Friendi,Jun'18,Other (specify):,Others,Indian,Expat Asians,Male,5,5,5
40013139,Friendi - Prepaid,Friendi,Jun'18,AL MADINAH AL MUNAWWARAH,Northern,Indian,Expat Asians,Male,5,5,5
40003929,Lebara - Prepaid,Lebara,Jun'18,JIZAN,Southern,Indian,Expat Asians,Male,3,5,4
40004011,Friendi - Prepaid,Friendi,Jun'18,JEDDAH,Western,Egyptian,Expat Arabs,Male,5,3,4
40001890,Lebara - Prepaid,Lebara,Jun'18,AR RIYADH,Central,Yemeni,Expat Arabs,Male,5,2,3.5
40008502,Lebara - Prepaid,Lebara,Jun'18,AL MADINAH AL MUNAWWARAH,Northern,Yemeni,Expat Arabs,Male,4,3,3.5
40002442,Lebara - Internet on Mobile,Lebara,Jun'18,HAIL,Northern,Sudani,Expat Arabs,Male,3,3,3
40008987,Lebara - Prepaid,Lebara,Jun'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,5,4,4.5
